label,solver_seed,planning_model,solution_index,decision_hash,planning_F1,planning_F2,planning_F3,execution_F1,execution_F2,execution_F3,delta_F1,delta_F2,delta_F3,objective_changed,changed_F1,changed_F2,changed_F3,is_full_self_replay,decision
SR-C_seed6_natural-active,70001,Full,0,0f8dcb22bb454c1e,2.4772574884079344,173413.33333333334,-0.7973068745568526,2.4772574884079344,173413.33333333334,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [4, 7, 8, 9, 0, 15, 5, 11, 6, 1, 2, 10, 13, 12, 14, 3], ""team_assignment"": [0, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 2, 1, 0], ""dispatch_priority"": [[6, 18], [6, 20], [6, 27], [37, 15], [32, 9], [6, 24], [6, 36], [6, 19], [37, 38], [6, 17], [6, 38], [32, 27], [32, 14], [6, 22], [32, 20], [37, 18], [32, 28], [6, 5], [32, 31], [32, 3], [37, 24], [6, 11], [37, 25], [32, 24], [37, 20], [37, 14], [37, 9], [6, 28], [37, 3], [6, 29], [37, 12], [37, 35], [32, 38], [37, 21], [6, 33], [32, 4], [32, 16], [37, 29], [37, 33], [37, 8], [32, 12], [32, 5], [6, 14], [37, 16], [32, 22], [6, 34], [37, 30], [6, 10], [37, 17], [37, 10], [6, 21], [32, 21], [6, 1], [32, 33], [37, 23], [6, 12], [6, 13], [32, 10], [37, 28], [32, 35], [32, 34], [37, 26], [37, 7], [37, 2], [37, 27], [37, 31], [32, 1], [6, 3], [37, 19], [6, 35], [37, 1], [6, 26], [32, 23], [6, 16], [6, 8], [37, 36], [32, 25], [6, 23], [37, 34], [6, 7], [32, 18], [6, 15], [6, 31], [32, 36], [37, 5], [32, 30], [37, 13], [6, 9], [32, 7], [6, 25], [37, 4], [32, 8], [32, 13], [32, 19], [32, 29], [32, 17], [32, 15], [37, 11], [37, 22], [32, 2], [6, 30], [32, 26], [6, 2], [32, 11], [6, 4]]}"
SR-C_seed6_natural-active,70001,Full,1,ef59ca33edfb8cab,2.4781889796936447,157886.33333333334,-0.7973068745568526,2.4781889796936447,157886.33333333334,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [7, 0, 8, 5, 4, 6, 15, 10, 13, 9, 14, 3, 1, 11, 12, 2], ""team_assignment"": [1, 2, 2, 0, 1, 1, 1, 1, 2, 0, 1, 1, 0, 0, 1, 2], ""dispatch_priority"": [[32, 38], [6, 20], [37, 12], [37, 36], [6, 4], [32, 1], [6, 24], [6, 17], [32, 20], [6, 31], [37, 18], [37, 17], [6, 8], [32, 33], [6, 15], [32, 34], [6, 14], [37, 23], [6, 1], [32, 28], [32, 22], [6, 33], [6, 5], [32, 31], [6, 34], [32, 3], [6, 16], [37, 30], [37, 24], [6, 29], [37, 2], [32, 24], [37, 20], [6, 13], [37, 14], [37, 9], [6, 3], [32, 18], [37, 35], [37, 29], [37, 26], [32, 12], [6, 26], [6, 35], [32, 23], [6, 28], [37, 8], [32, 35], [37, 3], [37, 4], [32, 4], [37, 19], [32, 8], [32, 13], [37, 31], [6, 10], [32, 30], [6, 19], [6, 7], [6, 23], [32, 19], [32, 21], [32, 29], [6, 38], [32, 14], [37, 33], [32, 17], [32, 15], [37, 11], [37, 22], [32, 2], [37, 27], [6, 25], [32, 10], [6, 12], [6, 30], [32, 36], [32, 26], [6, 2], [37, 1], [32, 16], [32, 11], [37, 16], [37, 21], [6, 9], [6, 27], [37, 5], [32, 27], [37, 13], [37, 10], [32, 9], [37, 7], [6, 11], [32, 25], [37, 28], [6, 22], [37, 25], [6, 21], [37, 34], [32, 7], [32, 5], [6, 18], [6, 36], [37, 38], [37, 15]]}"
SR-C_seed6_natural-active,70001,Full,2,a29420c8f2f7b8a2,2.4748690098971577,173485.6666666667,-0.7973068745568526,2.4748690098971577,173485.6666666667,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [7, 15, 5, 4, 1, 2, 0, 6, 8, 10, 13, 9, 11, 12, 14, 3], ""team_assignment"": [1, 0, 2, 1, 1, 0, 1, 0, 2, 0, 2, 1, 0, 2, 1, 0], ""dispatch_priority"": [[6, 18], [32, 5], [6, 20], [6, 27], [37, 15], [32, 9], [6, 24], [6, 36], [6, 19], [37, 38], [37, 7], [6, 17], [37, 34], [6, 38], [6, 34], [32, 10], [32, 27], [32, 14], [37, 30], [32, 18], [32, 7], [6, 23], [6, 31], [37, 1], [37, 26], [37, 2], [6, 22], [32, 20], [37, 18], [32, 34], [6, 1], [32, 28], [6, 33], [6, 5], [32, 31], [32, 3], [6, 16], [37, 24], [6, 29], [6, 11], [32, 25], [37, 28], [37, 25], [32, 24], [37, 20], [6, 13], [37, 14], [37, 9], [6, 3], [37, 35], [37, 29], [32, 12], [6, 26], [6, 35], [32, 23], [6, 28], [37, 8], [32, 35], [37, 3], [37, 4], [32, 4], [37, 19], [32, 8], [32, 13], [37, 31], [6, 10], [6, 7], [32, 19], [32, 21], [32, 29], [37, 33], [32, 17], [32, 15], [37, 11], [37, 22], [32, 2], [37, 27], [6, 25], [6, 12], [6, 30], [32, 36], [32, 26], [6, 2], [32, 16], [32, 11], [37, 16], [37, 21], [32, 30], [37, 12], [6, 14], [37, 17], [37, 10], [6, 21], [32, 1], [6, 15], [37, 5], [37, 13], [6, 9], [6, 4], [37, 23], [32, 22], [37, 36], [32, 38], [32, 33], [6, 8]]}"
SR-C_seed6_natural-active,70001,Full,3,ced5de76e29ea691,2.481264015243589,152004.16666666666,-0.7973068745568526,2.481264015243589,152004.16666666666,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [15, 8, 2, 4, 0, 5, 7, 11, 6, 10, 12, 9, 14, 3, 13, 1], ""team_assignment"": [1, 0, 2, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 2, 1, 0], ""dispatch_priority"": [[6, 22], [32, 4], [32, 31], [6, 10], [6, 18], [37, 11], [32, 5], [37, 24], [6, 29], [32, 2], [37, 7], [6, 17], [37, 34], [6, 38], [6, 34], [32, 10], [32, 27], [32, 14], [37, 30], [32, 18], [32, 7], [6, 23], [6, 31], [37, 1], [6, 25], [37, 35], [37, 29], [32, 28], [37, 25], [37, 20], [37, 8], [6, 30], [32, 19], [32, 26], [32, 20], [6, 11], [6, 20], [37, 38], [6, 27], [37, 15], [37, 3], [32, 9], [32, 11], [37, 33], [6, 24], [6, 2], [6, 36], [32, 17], [6, 28], [37, 16], [32, 13], [37, 28], [32, 30], [32, 3], [32, 24], [37, 18], [32, 8], [37, 12], [37, 21], [6, 33], [32, 16], [32, 12], [6, 14], [37, 17], [37, 10], [6, 21], [37, 26], [32, 34], [32, 21], [37, 2], [37, 27], [37, 31], [32, 1], [6, 3], [37, 19], [6, 35], [6, 1], [6, 12], [6, 13], [32, 35], [6, 26], [32, 23], [6, 16], [32, 25], [6, 7], [6, 15], [32, 36], [37, 5], [37, 13], [6, 9], [37, 14], [6, 4], [37, 9], [6, 5], [37, 23], [32, 22], [37, 36], [32, 38], [37, 22], [32, 33], [6, 8], [32, 29], [37, 4], [6, 19], [32, 15]]}"
SR-C_seed6_natural-active,70001,Full,4,5a6dab972f9d0200,2.5985306807608985,151933.0,-0.7611192315716835,2.5985306807608985,151933.0,-0.7611192315716835,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [7, 8, 0, 15, 5, 11, 3, 9, 4, 6, 13, 14, 12, 2, 10, 1], ""team_assignment"": [1, 2, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0], ""dispatch_priority"": [[6, 2], [6, 28], [6, 38], [32, 31], [6, 10], [6, 11], [6, 20], [37, 38], [32, 14], [6, 27], [32, 20], [6, 30], [32, 24], [37, 18], [32, 19], [32, 4], [32, 12], [37, 15], [37, 3], [32, 29], [6, 24], [37, 4], [32, 17], [32, 16], [6, 19], [32, 9], [32, 11], [32, 33], [32, 27], [32, 18], [6, 18], [37, 11], [32, 5], [37, 33], [37, 24], [37, 21], [6, 29], [32, 2], [37, 14], [6, 25], [32, 15], [6, 34], [37, 35], [32, 25], [37, 29], [32, 28], [6, 26], [32, 26], [37, 13], [37, 30], [6, 16], [32, 34], [32, 10], [6, 35], [37, 25], [6, 8], [6, 22], [37, 31], [6, 14], [37, 7], [37, 12], [37, 20], [6, 13], [6, 12], [37, 8], [6, 3], [37, 22], [6, 17], [32, 38], [37, 5], [6, 21], [32, 21], [6, 1], [37, 23], [37, 28], [32, 35], [37, 26], [37, 2], [37, 27], [32, 1], [37, 17], [37, 1], [32, 23], [37, 36], [6, 23], [37, 34], [6, 7], [6, 15], [6, 31], [32, 36], [32, 30], [6, 9], [37, 16], [32, 22], [6, 33], [37, 19], [6, 36], [32, 8], [32, 3], [37, 10], [32, 7], [6, 4], [32, 13], [37, 9], [6, 5]]}"
SR-C_seed6_natural-active,70001,Full,5,c57296a872bc0506,2.824094783867337,134565.0,-0.7611192315716835,2.824094783867337,134565.0,-0.7611192315716835,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [15, 6, 13, 8, 1, 2, 4, 7, 0, 10, 12, 5, 11, 9, 14, 3], ""team_assignment"": [1, 2, 1, 1, 1, 2, 1, 0, 2, 2, 0, 0, 0, 2, 1, 0], ""dispatch_priority"": [[6, 22], [6, 17], [32, 4], [32, 31], [6, 10], [6, 18], [37, 11], [32, 5], [6, 29], [32, 2], [6, 25], [6, 34], [37, 35], [37, 29], [32, 28], [37, 25], [37, 20], [37, 8], [6, 30], [37, 30], [32, 19], [6, 38], [32, 26], [32, 20], [6, 11], [6, 20], [37, 38], [32, 14], [6, 27], [37, 15], [37, 3], [32, 9], [32, 11], [32, 27], [37, 33], [6, 24], [6, 2], [6, 36], [32, 17], [6, 28], [32, 13], [37, 28], [32, 30], [6, 31], [32, 18], [32, 3], [32, 24], [37, 18], [32, 8], [37, 12], [37, 21], [6, 33], [32, 12], [6, 14], [32, 35], [32, 16], [37, 16], [6, 9], [37, 24], [6, 3], [32, 1], [37, 17], [37, 10], [6, 21], [37, 26], [32, 34], [32, 21], [37, 7], [37, 2], [37, 27], [37, 31], [37, 19], [6, 35], [37, 1], [6, 1], [6, 12], [6, 13], [32, 10], [6, 26], [32, 23], [6, 16], [32, 25], [6, 23], [37, 34], [6, 7], [6, 15], [32, 36], [37, 5], [37, 13], [32, 7], [37, 14], [6, 4], [37, 9], [6, 5], [37, 23], [32, 22], [37, 36], [32, 38], [37, 22], [32, 33], [6, 8], [32, 29], [37, 4], [6, 19], [32, 15]]}"
SR-C_seed6_natural-active,70001,Full,6,97c004e31085ca67,2.822585756955844,150077.66666666666,-0.7568267146052676,2.822585756955844,150077.66666666666,-0.7568267146052676,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [13, 7, 8, 9, 0, 15, 5, 11, 6, 10, 1, 3, 14, 2, 4, 12], ""team_assignment"": [0, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 2, 0, 0], ""dispatch_priority"": [[6, 22], [6, 17], [6, 24], [32, 26], [6, 2], [6, 36], [32, 17], [37, 11], [6, 28], [37, 25], [32, 20], [32, 3], [6, 11], [37, 15], [6, 18], [6, 30], [6, 20], [32, 24], [32, 28], [32, 14], [37, 3], [37, 38], [37, 20], [32, 9], [37, 18], [32, 27], [32, 8], [32, 19], [32, 31], [6, 29], [37, 12], [37, 35], [32, 38], [37, 21], [6, 33], [32, 4], [32, 16], [37, 29], [37, 33], [37, 8], [32, 12], [32, 5], [6, 14], [37, 16], [32, 22], [6, 34], [37, 30], [6, 10], [37, 17], [37, 10], [6, 21], [32, 21], [6, 1], [32, 33], [37, 23], [6, 12], [6, 13], [32, 10], [37, 28], [32, 35], [32, 34], [37, 26], [37, 7], [37, 2], [37, 27], [37, 31], [32, 1], [6, 3], [37, 19], [6, 35], [37, 1], [6, 26], [32, 23], [6, 16], [6, 8], [37, 36], [32, 25], [6, 23], [37, 34], [6, 7], [32, 18], [6, 15], [6, 31], [32, 36], [37, 5], [32, 30], [37, 13], [6, 9], [32, 7], [6, 25], [37, 14], [6, 4], [32, 13], [37, 9], [6, 5], [37, 22], [32, 29], [37, 4], [6, 19], [32, 2], [37, 24], [32, 15], [32, 11], [6, 38], [6, 27]]}"
SR-C_seed6_natural-active,70001,Full,7,5db0419787e9964f,2.830392979137245,133679.0,-0.7567610294599945,2.830392979137245,133679.0,-0.7567610294599945,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [15, 6, 13, 8, 1, 2, 4, 9, 0, 10, 12, 7, 11, 5, 14, 3], ""team_assignment"": [1, 2, 1, 0, 1, 0, 1, 2, 1, 2, 1, 0, 0, 2, 1, 0], ""dispatch_priority"": [[6, 22], [6, 17], [32, 31], [6, 10], [6, 18], [37, 11], [32, 2], [6, 25], [32, 28], [37, 25], [37, 20], [6, 30], [37, 30], [6, 38], [32, 26], [32, 20], [6, 11], [6, 20], [37, 38], [32, 14], [6, 27], [37, 15], [37, 3], [32, 9], [32, 11], [32, 27], [6, 24], [6, 2], [6, 36], [32, 17], [6, 28], [32, 13], [37, 28], [32, 30], [37, 18], [32, 8], [32, 19], [6, 29], [37, 12], [37, 35], [37, 21], [6, 33], [32, 4], [32, 16], [37, 29], [37, 33], [37, 8], [32, 12], [32, 5], [6, 14], [32, 22], [6, 34], [6, 31], [32, 18], [32, 3], [32, 24], [32, 35], [37, 16], [6, 9], [37, 24], [6, 3], [32, 1], [37, 17], [37, 10], [6, 21], [37, 26], [32, 34], [32, 21], [37, 7], [37, 2], [37, 27], [37, 31], [37, 19], [6, 35], [37, 1], [6, 1], [6, 12], [6, 13], [32, 10], [6, 26], [32, 23], [6, 16], [32, 25], [6, 23], [37, 34], [6, 7], [6, 15], [32, 36], [37, 5], [37, 13], [32, 7], [37, 14], [6, 4], [37, 9], [6, 5], [37, 23], [37, 36], [32, 38], [37, 22], [32, 33], [6, 8], [32, 29], [37, 4], [6, 19], [32, 15]]}"
SR-C_seed6_natural-active,70001,Full,8,18b1ad26062cdccb,2.7123894603960297,147632.0,-0.7554582358288826,2.7123894603960297,147632.0,-0.7554582358288826,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [13, 7, 8, 15, 5, 2, 4, 9, 0, 10, 11, 6, 1, 3, 14, 12], ""team_assignment"": [1, 0, 1, 1, 1, 0, 1, 0, 2, 2, 0, 0, 1, 2, 0, 0], ""dispatch_priority"": [[6, 22], [6, 17], [6, 24], [32, 26], [6, 2], [6, 36], [32, 17], [37, 11], [6, 28], [37, 25], [32, 20], [32, 3], [6, 11], [37, 15], [6, 18], [6, 30], [6, 20], [32, 24], [32, 28], [32, 14], [37, 38], [32, 9], [37, 18], [32, 27], [32, 8], [32, 19], [32, 31], [6, 29], [37, 12], [37, 35], [37, 21], [6, 33], [32, 4], [32, 16], [37, 29], [37, 33], [37, 8], [32, 12], [37, 16], [32, 22], [6, 34], [37, 30], [6, 10], [37, 17], [6, 21], [32, 21], [6, 1], [6, 12], [32, 10], [37, 28], [32, 35], [32, 34], [37, 26], [37, 7], [37, 2], [32, 1], [6, 3], [37, 19], [6, 35], [37, 1], [6, 26], [32, 23], [6, 16], [37, 36], [32, 25], [6, 23], [37, 34], [6, 7], [32, 18], [6, 15], [6, 31], [37, 5], [32, 30], [6, 9], [32, 7], [32, 5], [37, 27], [37, 13], [32, 36], [32, 38], [37, 14], [32, 29], [37, 23], [37, 20], [6, 13], [37, 31], [37, 22], [32, 15], [37, 3], [32, 33], [37, 10], [6, 8], [6, 14], [6, 25], [6, 4], [32, 13], [37, 9], [6, 5], [37, 4], [6, 19], [32, 2], [37, 24], [32, 11], [6, 38], [6, 27]]}"
SR-C_seed6_natural-active,70001,Full,9,c82a1575f1d75802,2.710447284810395,148892.0,-0.7505761648681073,2.710447284810395,148892.0,-0.7505761648681073,0.0,0.0,0.0,False,False,False,False,True,"{""repair_order"": [8, 12, 5, 9, 1, 0, 7, 3, 4, 6, 15, 10, 13, 11, 14, 2], ""team_assignment"": [1, 2, 1, 1, 1, 2, 0, 0, 1, 2, 2, 1, 0, 2, 0, 2], ""dispatch_priority"": [[6, 19], [6, 11], [32, 3], [6, 21], [37, 28], [37, 23], [6, 5], [32, 21], [32, 20], [6, 30], [32, 19], [6, 38], [32, 24], [32, 22], [37, 16], [32, 13], [37, 9], [6, 28], [6, 2], [37, 38], [32, 14], [6, 27], [37, 15], [37, 3], [6, 31], [32, 9], [32, 11], [32, 33], [32, 18], [6, 18], [37, 11], [32, 5], [37, 33], [37, 24], [37, 21], [6, 29], [32, 2], [37, 14], [6, 25], [32, 15], [6, 34], [37, 35], [37, 29], [32, 28], [32, 26], [37, 13], [37, 30], [32, 10], [37, 25], [6, 22], [6, 14], [37, 12], [37, 20], [6, 13], [6, 12], [37, 8], [37, 22], [6, 17], [32, 38], [37, 5], [6, 15], [32, 29], [6, 24], [37, 4], [37, 34], [6, 7], [6, 1], [32, 35], [32, 34], [37, 26], [37, 7], [37, 2], [37, 27], [37, 31], [32, 1], [6, 3], [32, 27], [6, 35], [6, 26], [32, 23], [6, 16], [6, 8], [37, 36], [32, 25], [6, 23], [6, 9], [32, 30], [37, 19], [6, 4], [6, 36], [37, 18], [37, 1], [32, 17], [37, 10], [32, 7], [32, 31], [32, 12], [6, 10], [32, 4], [32, 36], [6, 33], [32, 16], [6, 20], [32, 8], [37, 17]]}"
